"Time","opctyngppri01 : Actives"
2022-03-02 16:00:00,1397
2022-03-02 19:00:00,1031
2022-03-02 22:00:00,448
2022-03-03 01:00:00,1129
2022-03-03 04:00:00,734
2022-03-03 07:00:00,797
2022-03-03 10:00:00,3510
2022-03-03 13:00:00,2818
2022-03-03 16:00:00,3027
2022-03-03 19:00:00,1787
2022-03-03 22:00:00,426
2022-03-04 01:00:00,1250
2022-03-04 04:00:00,1338
2022-03-04 07:00:00,929
2022-03-04 10:00:00,3462
2022-03-04 13:00:00,2256
2022-03-04 16:00:00,2259
2022-03-04 19:00:00,1057
2022-03-04 22:00:00,439
2022-03-05 01:00:00,1244
2022-03-05 04:00:00,1322
2022-03-05 07:00:00,409
2022-03-05 10:00:00,804
2022-03-05 13:00:00,719
2022-03-05 16:00:00,604
2022-03-05 19:00:00,597
2022-03-05 22:00:00,394
2022-03-06 01:00:00,1231
2022-03-06 04:00:00,1271
2022-03-06 07:00:00,318
2022-03-06 10:00:00,428
2022-03-06 13:00:00,412
2022-03-06 16:00:00,390
2022-03-06 19:00:00,439
2022-03-06 22:00:00,373
2022-03-07 01:00:00,1213
2022-03-07 04:00:00,1232
2022-03-07 07:00:00,877
2022-03-07 10:00:00,3264
2022-03-07 13:00:00,2399
2022-03-07 16:00:00,2422
2022-03-07 19:00:00,965
2022-03-07 22:00:00,404
2022-03-08 01:00:00,1236
2022-03-08 04:00:00,1242
2022-03-08 07:00:00,807
2022-03-08 10:00:00,2997
2022-03-08 13:00:00,2589
2022-03-08 16:00:00,2616
2022-03-08 19:00:00,1072
2022-03-08 22:00:00,420
2022-03-09 01:00:00,1242
2022-03-09 04:00:00,1019
2022-03-09 07:00:00,721
2022-03-09 10:00:00,2912
2022-03-09 13:00:00,2650
2022-03-09 16:00:00,2802
2022-03-09 19:00:00,1077
2022-03-09 22:00:00,448
2022-03-10 01:00:00,1256
2022-03-10 04:00:00,1022
2022-03-10 07:00:00,829
2022-03-10 10:00:00,3092
2022-03-10 13:00:00,2401
2022-03-10 16:00:00,2476
2022-03-10 19:00:00,1062
2022-03-10 22:00:00,429
2022-03-11 01:00:00,1241
2022-03-11 04:00:00,1329
2022-03-11 07:00:00,799
2022-03-11 10:00:00,2913
2022-03-11 13:00:00,2285
2022-03-11 16:00:00,2582
2022-03-11 19:00:00,1105
2022-03-11 22:00:00,448
2022-03-12 01:00:00,1253
2022-03-12 04:00:00,1302
2022-03-12 07:00:00,419
2022-03-12 10:00:00,817
2022-03-12 13:00:00,711
2022-03-12 16:00:00,614
2022-03-12 19:00:00,573
2022-03-12 22:00:00,390
2022-03-13 01:00:00,1245
2022-03-13 04:00:00,1227
2022-03-13 07:00:00,301
2022-03-13 10:00:00,403
2022-03-13 13:00:00,388
2022-03-13 16:00:00,386
2022-03-13 19:00:00,431
2022-03-13 22:00:00,371
2022-03-14 01:00:00,1221
2022-03-14 04:00:00,1244
2022-03-14 07:00:00,887
2022-03-14 10:00:00,3360
2022-03-14 13:00:00,2497
2022-03-14 16:00:00,2559
2022-03-14 19:00:00,1018
2022-03-14 22:00:00,424
2022-03-15 01:00:00,1245
2022-03-15 04:00:00,1178
2022-03-15 07:00:00,928
2022-03-15 10:00:00,3164
2022-03-15 13:00:00,2562
2022-03-15 16:00:00,2804
2022-03-15 19:00:00,1095
2022-03-15 22:00:00,448
2022-03-16 01:00:00,1253
2022-03-16 04:00:00,1024
2022-03-16 07:00:00,780
2022-03-16 10:00:00,3091
2022-03-16 13:00:00,2511
2022-03-16 16:00:00,2524
2022-03-16 19:00:00,1110
2022-03-16 22:00:00,442
2022-03-17 01:00:00,1246
2022-03-17 04:00:00,1014
2022-03-17 07:00:00,753
2022-03-17 10:00:00,2983
2022-03-17 13:00:00,2497
2022-03-17 16:00:00,2528
2022-03-17 19:00:00,1049
2022-03-17 22:00:00,429
2022-03-18 01:00:00,1249
2022-03-18 04:00:00,1318
2022-03-18 07:00:00,848
2022-03-18 10:00:00,3343
2022-03-18 13:00:00,2504
2022-03-18 16:00:00,2467
2022-03-18 19:00:00,1088
2022-03-18 22:00:00,433
2022-03-19 01:00:00,1247
2022-03-19 04:00:00,1329
2022-03-19 07:00:00,429
2022-03-19 10:00:00,830
2022-03-19 13:00:00,740
2022-03-19 16:00:00,610
2022-03-19 19:00:00,605
2022-03-19 22:00:00,397
2022-03-20 01:00:00,1228
2022-03-20 04:00:00,1260
2022-03-20 07:00:00,305
2022-03-20 10:00:00,431
2022-03-20 13:00:00,391
2022-03-20 16:00:00,372
2022-03-20 19:00:00,427
2022-03-20 22:00:00,373
2022-03-21 01:00:00,1210
2022-03-21 04:00:00,1224
2022-03-21 07:00:00,897
2022-03-21 10:00:00,3279
2022-03-21 13:00:00,2657
2022-03-21 16:00:00,2721
2022-03-21 19:00:00,1098
2022-03-21 22:00:00,407
2022-03-22 01:00:00,1331
2022-03-22 04:00:00,1623
2022-03-22 07:00:00,848
2022-03-22 10:00:00,3357
2022-03-22 19:00:00,1153
2022-03-22 22:00:00,422
2022-03-23 01:00:00,1754
2022-03-23 04:00:00,2263
2022-03-23 07:00:00,815
2022-03-23 10:00:00,3241
2022-03-23 13:00:00,2649
2022-03-23 16:00:00,2723
2022-03-23 19:00:00,1066
2022-03-23 22:00:00,424
2022-03-24 01:00:00,1286
2022-03-24 04:00:00,1093
2022-03-24 07:00:00,845
2022-03-24 10:00:00,3340
2022-03-24 13:00:00,2572
2022-03-24 16:00:00,2901
2022-03-24 19:00:00,1212
2022-03-24 22:00:00,458
2022-03-25 01:00:00,1289
2022-03-25 04:00:00,1390
2022-03-25 07:00:00,913
2022-03-25 10:00:00,3543
2022-03-25 13:00:00,2805
2022-03-25 16:00:00,2627
2022-03-25 19:00:00,1034
2022-03-25 22:00:00,416
2022-03-26 01:00:00,1254
2022-03-26 04:00:00,1322
2022-03-26 07:00:00,415
2022-03-26 10:00:00,844
2022-03-26 13:00:00,745
2022-03-26 16:00:00,632
2022-03-26 19:00:00,541
2022-03-26 22:00:00,381
2022-03-27 01:00:00,1271
2022-03-27 05:00:00,894
2022-03-27 08:00:00,292
2022-03-27 11:00:00,428
2022-03-27 14:00:00,361
2022-03-27 17:00:00,401
2022-03-27 20:00:00,415
2022-03-27 23:00:00,563
2022-03-28 02:00:00,1484
2022-03-28 05:00:00,808
2022-03-28 08:00:00,1745
2022-03-28 11:00:00,3463
2022-03-28 14:00:00,2851
2022-03-28 17:00:00,2236
2022-03-28 20:00:00,698
2022-03-28 23:00:00,584
2022-03-29 02:00:00,1556
2022-03-29 05:00:00,868
2022-03-29 08:00:00,1604
2022-03-29 11:00:00,3457
2022-03-29 14:00:00,2933
2022-03-29 17:00:00,2538
2022-03-29 20:00:00,734
2022-03-29 23:00:00,566
2022-03-30 02:00:00,1481
2022-03-30 05:00:00,635
2022-03-30 08:00:00,1582
2022-03-30 11:00:00,3405
2022-03-30 14:00:00,2751
2022-03-30 17:00:00,2268
2022-03-30 20:00:00,717
2022-03-30 23:00:00,567
2022-03-31 02:00:00,1469
2022-03-31 05:00:00,624
2022-03-31 08:00:00,1694
2022-03-31 11:00:00,3403
2022-03-31 14:00:00,2766
2022-03-31 17:00:00,2385
2022-03-31 20:00:00,768
2022-03-31 23:00:00,595
2022-04-01 02:00:00,1560
2022-04-01 05:00:00,945
2022-04-01 08:00:00,1757
2022-04-01 11:00:00,3459
2022-04-01 14:00:00,2647
2022-04-01 17:00:00,2157
2022-04-01 20:00:00,804
2022-04-01 23:00:00,605
2022-04-02 02:00:00,1569
2022-04-02 05:00:00,889
2022-04-02 08:00:00,504
2022-04-02 11:00:00,881
2022-04-02 14:00:00,659
2022-04-02 17:00:00,656
2022-04-02 20:00:00,490
2022-04-02 23:00:00,546
2022-04-03 02:00:00,1519
2022-04-03 05:00:00,776
2022-04-03 08:00:00,301
2022-04-03 11:00:00,393
2022-04-03 14:00:00,318
2022-04-03 17:00:00,398
2022-04-03 20:00:00,426
2022-04-03 23:00:00,534
2022-04-04 02:00:00,1524
2022-04-04 05:00:00,843
2022-04-04 08:00:00,1738
2022-04-04 11:00:00,3543
2022-04-04 14:00:00,2629
2022-04-04 17:00:00,2242
2022-04-04 20:00:00,710
2022-04-04 23:00:00,571
2022-04-05 02:00:00,1548
2022-04-05 05:00:00,842
2022-04-05 08:00:00,1608
2022-04-05 11:00:00,3368
2022-04-05 14:00:00,2609
2022-04-05 17:00:00,2260
2022-04-05 20:00:00,767
2022-04-05 23:00:00,603
2022-04-06 02:00:00,1505
2022-04-06 05:00:00,644
2022-04-06 08:00:00,1494
2022-04-06 11:00:00,2958
2022-04-06 14:00:00,2609
2022-04-06 17:00:00,2265
2022-04-06 20:00:00,801
2022-04-06 23:00:00,609
2022-04-07 02:00:00,1513
2022-04-07 05:00:00,662
2022-04-07 08:00:00,1599
2022-04-07 11:00:00,3234
2022-04-07 14:00:00,2744
2022-04-07 17:00:00,2433
2022-04-07 20:00:00,763
2022-04-07 23:00:00,579
2022-04-08 02:00:00,1568
2022-04-08 05:00:00,870
2022-04-08 08:00:00,1635
2022-04-08 11:00:00,3258
2022-04-08 14:00:00,2705
2022-04-08 17:00:00,2535
2022-04-08 20:00:00,1099
2022-04-08 23:00:00,629
2022-04-09 02:00:00,1580
2022-04-09 05:00:00,887
2022-04-09 08:00:00,513
2022-04-09 11:00:00,894
2022-04-09 14:00:00,675
2022-04-09 17:00:00,651
2022-04-09 20:00:00,506
2022-04-09 23:00:00,562
2022-04-10 02:00:00,1543
2022-04-10 05:00:00,777
2022-04-10 08:00:00,309
2022-04-10 11:00:00,445
2022-04-10 14:00:00,393
2022-04-10 17:00:00,424
2022-04-10 20:00:00,406
2022-04-10 23:00:00,547
2022-04-11 02:00:00,1531
2022-04-11 05:00:00,823
2022-04-11 08:00:00,1744
2022-04-11 11:00:00,3398
2022-04-11 14:00:00,2726
2022-04-11 17:00:00,2401
2022-04-11 20:00:00,728
2022-04-11 23:00:00,613
2022-04-12 02:00:00,1570
2022-04-12 05:00:00,855
2022-04-12 08:00:00,1608
2022-04-12 11:00:00,3602
2022-04-12 14:00:00,3094
2022-04-12 17:00:00,2606
2022-04-12 20:00:00,847
2022-04-12 23:00:00,613
2022-04-13 02:00:00,1534
2022-04-13 05:00:00,663
2022-04-13 08:00:00,1597
2022-04-13 11:00:00,3189
2022-04-13 14:00:00,2667
2022-04-13 17:00:00,2232
2022-04-13 20:00:00,770
2022-04-13 23:00:00,600
2022-04-14 02:00:00,1524
2022-04-14 05:00:00,646
2022-04-14 08:00:00,1665
2022-04-14 11:00:00,3505
2022-04-14 14:00:00,2988
2022-04-14 17:00:00,2408
2022-04-14 20:00:00,859
2022-04-14 23:00:00,611
2022-04-15 02:00:00,1527
2022-04-15 05:00:00,648
2022-04-15 08:00:00,1507
2022-04-15 11:00:00,3178
2022-04-15 14:00:00,2603
2022-04-15 17:00:00,2288
2022-04-15 20:00:00,903
2022-04-15 23:00:00,628
2022-04-16 02:00:00,1600
2022-04-16 05:00:00,951
2022-04-16 08:00:00,553
2022-04-16 11:00:00,933
2022-04-16 14:00:00,681
2022-04-16 17:00:00,701
2022-04-16 20:00:00,584
2022-04-16 23:00:00,576
2022-04-17 02:00:00,1563
2022-04-17 05:00:00,852
2022-04-17 08:00:00,329
2022-04-17 11:00:00,513
2022-04-17 14:00:00,409
2022-04-17 17:00:00,448
2022-04-17 20:00:00,451
2022-04-17 23:00:00,566
2022-04-18 02:00:00,1568
2022-04-18 05:00:00,842
2022-04-18 08:00:00,411
2022-04-18 11:00:00,659
2022-04-18 14:00:00,504
2022-04-18 17:00:00,516
2022-04-18 20:00:00,481
2022-04-18 23:00:00,561
2022-04-19 02:00:00,1493
2022-04-19 05:00:00,806
2022-04-19 08:00:00,1957
2022-04-19 11:00:00,4628
2022-04-19 14:00:00,5577
2022-04-19 17:00:00,3458
2022-04-19 20:00:00,866
2022-04-19 23:00:00,667
2022-04-20 02:00:00,1578
2022-04-20 05:00:00,687
2022-04-20 08:00:00,1683
2022-04-20 11:00:00,3183
2022-04-20 14:00:00,2293
2022-04-20 17:00:00,2099
2022-04-20 20:00:00,741
2022-04-20 23:00:00,602
2022-04-21 02:00:00,1533
2022-04-21 05:00:00,648
2022-04-21 08:00:00,1473
2022-04-21 11:00:00,3530
2022-04-21 14:00:00,2863
2022-04-21 17:00:00,2403
2022-04-21 20:00:00,780
2022-04-21 23:00:00,600
2022-04-22 02:00:00,1617
2022-04-22 05:00:00,967
2022-04-22 08:00:00,1460
2022-04-22 11:00:00,2917
2022-04-22 14:00:00,2344
2022-04-22 17:00:00,2206
2022-04-22 20:00:00,817
2022-04-22 23:00:00,592
2022-04-23 02:00:00,1597
2022-04-23 05:00:00,904
2022-04-23 08:00:00,501
2022-04-23 11:00:00,905
2022-04-23 14:00:00,733
2022-04-23 17:00:00,708
2022-04-23 20:00:00,520
2022-04-23 23:00:00,563
2022-04-24 02:00:00,1574
2022-04-24 05:00:00,839
2022-04-24 08:00:00,332
2022-04-24 11:00:00,477
2022-04-24 14:00:00,396
2022-04-24 17:00:00,450
2022-04-24 20:00:00,449
2022-04-24 23:00:00,565
2022-04-25 02:00:00,1554
2022-04-25 05:00:00,847
2022-04-25 08:00:00,1823
2022-04-25 11:00:00,3394
2022-04-25 14:00:00,2609
2022-04-25 17:00:00,2289
2022-04-25 20:00:00,734
2022-04-25 23:00:00,586
2022-04-26 02:00:00,1597
2022-04-26 05:00:00,879
2022-04-26 08:00:00,1809
2022-04-26 11:00:00,4357
2022-04-26 14:00:00,3614
2022-04-26 17:00:00,3147
2022-04-26 20:00:00,844
2022-04-26 23:00:00,624
2022-04-27 02:00:00,1557
2022-04-27 05:00:00,673
2022-04-27 08:00:00,1677
2022-04-27 11:00:00,3311
2022-04-27 14:00:00,2576
2022-04-27 17:00:00,2307
2022-04-27 20:00:00,760
2022-04-27 23:00:00,609
2022-04-28 02:00:00,1553
2022-04-28 05:00:00,657
2022-04-28 08:00:00,1569
2022-04-28 11:00:00,3244
2022-04-28 14:00:00,2693
2022-04-28 17:00:00,2325
2022-04-28 20:00:00,822
2022-04-28 23:00:00,630
2022-04-29 02:00:00,1618
2022-04-29 05:00:00,911
2022-04-29 08:00:00,1497
2022-04-29 11:00:00,3076
2022-04-29 14:00:00,2565
2022-04-29 17:00:00,2135
2022-04-29 20:00:00,804
2022-04-29 23:00:00,631
